id,code,country,height,lat,lon,name,type
1911,DENW231,Germany,61,51.588917,7.663117,Kamen Bahnhofstraße,traffic
1912,DENW334,Germany,62,51.588658,7.662739,Kamen Bahnhofstraße 21,traffic
1913,DENW196,Germany,27,51.489128,6.530963,Kamp-Lintfort,background
1914,DENW307,Germany,25,51.481842,6.527344,Kamp-Lintfort Eyller-Berg-Straße,industrial
1915,DEBW126,Germany,114,49.005356,8.369269,Karlsruhe Kriegsstraße (S),traffic
1916,DEBW108,Germany,105,49.036888,8.322666,Karlsruhe-B10-Nord,traffic
1917,DEBW109,Germany,105,49.036705,8.322666,Karlsruhe-B10-Süd,traffic
1918,DEBW001,Germany,117,49.010114,8.418378,Karlsruhe-Mitte,traffic
1919,DEBW081,Germany,114,49.028594,8.355628,Karlsruhe-Nordwest,background
1920,DEBW002,Germany,115,49.009098,8.353804,Karlsruhe-West,traffic
1921,DEBW080,Germany,119,49.007956,8.387192,Karlsruhe_Reinhold-Frank-Strasse,traffic
1922,DEHE085,Germany,138,51.307808,9.515731,Kassel (2222),background
1923,DEHE086,Germany,136,51.316597,9.513619,Kassel (2224),background
1924,DEHE087,Germany,140,51.307331,9.529583,Kassel (2422),background
1925,DEHE088,Germany,137,51.314423,9.526508,Kassel (2424),background
1926,DEHE012,Germany,140,51.306278,9.532497,Kassel-Bettenhausen,background
1927,DEHE049,Germany,179,51.312073,9.491119,Kassel-Fünffenster-Str.,traffic
1928,DEHE013,Germany,181,51.314247,9.483397,Kassel-Mitte,background
1929,DEHE014,Germany,170,51.340137,9.480971,Kassel-Nord,traffic
1930,DEHE035,Germany,148,51.298851,9.480639,Kassel-Süd,traffic
1931,DEBW022,Germany,136,48.578178,7.802317,Kehl,industrial
1932,DEBW021,Germany,137,48.562061,7.827066,Kehl-Süd,background
1933,DEBY029,Germany,393,48.924603,11.874416,Kelheim/Am Herzberg,industrial
1934,DEBY028,Germany,348,48.909519,11.879245,Kelheim/Regensburger Straße,traffic
1935,DEHE060,Germany,483,51.154842,9.031753,Kellerwald,background
1936,DEBY031,Germany,678,47.72514,10.306561,Kempten (Allgäu)/Westendstraße,background
1937,DEBW105,Germany,174,48.193707,7.74672,Kenzingen BAB,traffic
1938,DENW193,Germany,105,50.863243,6.579858,Kerpen-Buir,industrial
1939,DESH029,Germany,14,54.30389,10.122692,Kiel - Theodor-Heuss-Ring,traffic
1940,DESH021,Germany,10,54.33268,10.136175,Kiel Schauenburger Str.,background
1941,DESH027,Germany,8,54.304672,10.135159,Kiel-Bahnhofstr. Verk.,traffic
1942,DESH033,Germany,29,54.309673,10.116564,Kiel-Max-Planck-Str.,background
1943,DESH007,Germany,17,54.319767,10.123092,Kiel-Schützenwall Verk.,traffic
1944,DESH012,Germany,25,54.344196,10.104381,Kiel-Stadtrand,background
1945,DESH052,Germany,18,54.304242,10.122364,Kiel-Theodor-Heuss-Ring,traffic
1946,DESH019,Germany,25,54.326393,10.115586,Kiel-Westring Verk.,traffic
1947,DEBY091,Germany,352,48.231201,12.971764,Kirchdorf a. Inn/Schulstraße,industrial
1948,DERP050,Germany,440,50.768606,7.969518,Kirchen,background
1949,DEHE052,Germany,811,50.221943,8.446078,Kleiner Feldberg,background
1950,DEBB013,Germany,43,52.408764,13.231408,Kleinmachnow,background
1951,DEBY004,Germany,124,49.869419,9.171545,Kleinwallstadt/Hofstetter Straße,background
1952,DESN024,Germany,540,50.354721,12.468952,Klingenthal,background
1953,DESN071,Germany,560,50.356644,12.467172,Klingenthal E.-Thälmann-Str.,traffic
1954,DERP024,Germany,68,50.3544,7.596583,Koblenz-Friedrich-Ebert-Ring,traffic
1955,DERP045,Germany,70,50.359604,7.592514,Koblenz-Hohenfelder Straße,traffic
1956,DERP029,Germany,68,50.359161,7.595492,Koblenz-Zentralplatz,traffic
1957,DEBY144,Germany,0,47.8649,12.0775,Kolbermoor,background
1958,DEBW052,Germany,403,47.664361,9.169289,Konstanz,background
1959,DERP044,Germany,180,50.69944,7.375278,Krautscheid / Seifen,industrial
1960,DENW116,Germany,30,51.34256,6.670194,Krefeld (Hafen),industrial
1961,DENW251,Germany,42,51.317844,6.574775,Krefeld Kölner Straße 209,traffic
1962,DENW252,Germany,41,51.34037,6.554,Krefeld Oranierring,traffic
1963,DENW142,Germany,30,51.333389,6.674997,Krefeld-Gellep-Stratum,industrial
1964,DENW261,Germany,38,51.356236,6.529364,Krefeld-Inrath,industrial
1965,DENW042,Germany,32,51.337666,6.640242,Krefeld-Linn,background
1966,DENW041,Germany,39,51.321892,6.548825,Krefeld-Mitte,background
1967,DENW115,Germany,40,51.30761,6.55742,Krefeld-Stahldorf,industrial
1968,DEBY130,Germany,835,49.9773,11.808,Kreuzstein,background
1969,DEBY032,Germany,303,50.103134,11.442592,Kulmbach/Konrad-Adenauer-Straße,background
1970,DEUB024,Germany,40,52.937489,12.409431,Kyritz,background
1971,DENW302,Germany,45,51.013672,6.855531,Köln Chorbuschstraße,traffic
1972,DENW155,Germany,54,50.962769,7.004547,Köln Clevischer Ring 3,traffic
1973,DENW211,Germany,48,50.96286,7.004589,Köln Clevischer Ring 3,traffic
1974,DENW303,Germany,63,50.978208,7.071003,Köln Dellbrücker Hauptstraße,traffic
1975,DENW332,Germany,55,50.883711,7.055722,Köln Hauptstraße,traffic
1976,DENW304,Germany,56,50.858919,7.104067,Köln Heidestraße,traffic
1977,DENW333,Germany,56,50.858858,7.101197,Köln Heidestraße 176,traffic
1978,DENW145,Germany,50,50.934235,6.939603,Köln Hohenstaufenring,traffic
1979,DENW164,Germany,50,50.933647,6.939519,Köln Hohenstaufenring 57A,traffic
1980,DENW148,Germany,50,50.938545,6.978025,Köln Justinianstraße,traffic
1981,DENW336,Germany,56,50.920406,6.932681,Köln Luxemburger Straße,traffic
1982,DENW151,Germany,56,50.935547,6.947953,Köln Neumarkt,traffic
1983,DENW150,Germany,45,50.975807,6.950097,Köln Neusser Straße,traffic
1984,DENW153,Germany,61,50.939883,6.952978,Köln Tunisstraße,traffic
1985,DENW212,Germany,49,50.947369,6.9577,Köln Turiner Straße,traffic
1986,DENW154,Germany,53,50.946877,6.958075,Köln Turiner Straße 2,traffic
1987,DENW198,Germany,57,50.942406,6.946642,Köln-Altstadt-Nord,background
1988,DENW053,Germany,45,51.019344,6.884636,Köln-Chorweiler,background
1989,DENW147,Germany,54,50.849026,6.975625,Köln-Godorf,industrial
1990,DENW250,Germany,63,50.93095,6.85028,Köln-Junkersdorf Jungbluthbrücke,traffic
1991,DENW249,Germany,66,50.931614,6.857614,Köln-Junkersdorf Statthalterhofweg 70,traffic
1992,DENW149,Germany,52,50.845325,7.004917,Köln-Langel,background
1993,DENW297,Germany,60,50.858994,6.924825,Köln-Meschenich Brühler Landstraße,traffic
1994,DENW059,Germany,45,50.889816,6.985164,Köln-Rodenkirchen,background
1995,DENW152,Germany,52,50.867622,7.002342,Köln-Sürth,background
1996,DENW219,Germany,65,50.938053,6.835108,Köln-Weiden,traffic
1997,DENW288,Germany,63,50.936695,6.833489,Köln-Weiden An der alten Post,traffic
1998,DEBB082,Germany,35,52.294636,13.619783,Königs Wusterhausen,background
1999,DEBB031,Germany,36,52.292252,13.627789,"Königs Wusterhausen,1993-2008",background
2000,DENI027,Germany,128,52.254997,10.820061,Königslutter,background
2001,DEHE025,Germany,526,50.19928,8.437208,Königstein,background
2002,DETH079,Germany,345,50.653114,11.484073,Könitz Am Hygeritz,industrial
2003,DETH076,Germany,320,50.654926,11.485028,Könitz E.-Haeckel-Str.,industrial
2004,DETH085,Germany,310,50.656097,11.48985,Könitz Herthumstr.,industrial
2005,DEST033,Germany,80,51.754623,11.97215,Köthen,background
2006,DEBW053,Germany,214,49.279701,9.693027,Künzelsau,background
2007,DENW076,Germany,49,52.137066,7.741409,Ladbergen,background
2008,DENW093,Germany,49,52.13134,7.726072,Ladbergen,background
2009,DEBW067,Germany,165,48.336216,7.860236,Lahr,background
2010,DEBW197,Germany,194,48.33051,7.92429,Lahr Reichenbacher Hauptstraße,traffic
2011,DEHE048,Germany,97,49.718449,8.521947,Lampertheim,background
2012,DEHE114,Germany,97,49.60201,8.46188,Lampertheim-Andreasstraße,traffic
2013,DEHE113,Germany,97,49.593056,8.469584,Lampertheim-Römerstraße,traffic
